Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
Bawa LLC Technologies,Ayush,"Telangana, India",$1M to $10M,Active,2020,Series A,Healthcare,1,Gayathri Sami,1-10,6,Seed,$100K to $500K,—,Low,342909,688.2898791267072,1684.4059044184269,9,902
Pillai-Saran Innovations,Telecommunications,"Chhattisgarh, India",$1M to $10M,Active,2023,Series A,Telecommunications,3,"Nimrat Nath, Zayan Choudhury, Turvi Comar",51-100,7,—,$0,Growing,Medium,195027,1953.887652860848,9968.348273781232,9,1181
Sood-Badal Technologies,Infrastructure,"Assam, India",Less than $1M,Active,2019,—,Infrastructure,4,"Vanya Dash, Advika Babu, Zansi Gera, Isaac Joshi",11-50,0,—,$10M to $50M,High,Medium,1354256,122.37256667411197,5750.026076208377,10,1726
"Rastogi, Raj and Dugal Pvt Ltd",Food Processing,"Andhra Pradesh, India",$50M to $100M,Active,2018,—,Food and Beverage,2,"Isaac Pingle, Ojas Munshi",51-100,0,—,$50M to $100M,Growing,High,145752,1036.3973076235375,2081.7035524340463,4,2101
Narula Group Labs,Banking,"Arunachal Pradesh, India",$10B+,Active,2023,Series C,Financial Services,2,"Krish Varty, Naksh Shukla",1001-5000,6,—,$50M to $100M,—,High,377011,135.75930193655333,6376.73285020184,9,2334
Deshpande-Sama Pvt Ltd,Financial Services,"Andhra Pradesh, India",$10B+,Active,2022,—,Financial Services,2,"Ganga Kannan, Nirja Prakash",11-50,0,—,—,Growing,—,1517882,681.7016773968016,7609.648914556517,4,2099
Sridhar LLC Labs,Railways,"Maharashtra, India",$1M to $10M,Active,2017,—,Transportation,2,"Isaiah Karan, Falan Yadav",251-500,3,—,$5M to $10M,—,High,280421,905.7300709296967,682.5922718689299,8,657
"Sengupta, Verma and Baria Innovations",MSME,"West Bengal, India",Less than $1M,Active,2022,Seed,Small Business,4,"Agastya Sama, Aarav Sagar, Rachita Kurian, Keya Mand",251-500,4,Seed,$10M to $50M,High,High,625327,1206.473415862169,7797.7365710475215,0,2194
"Nayak, Cherian and Thakkar Technologies",Media and Entertainment,"Nagaland, India",Less than $1M,Active,2019,—,Media,5,"Lipika Seth, Upma Prabhakar, Ijaya Ahuja, Manan D’Alia, Imaran Batra",101-250,0,—,$500K to $1M,—,High,552254,281.4212983645672,1713.0845206532792,8,73
Sanghvi-Sahni Pvt Ltd,Services,"Kerala, India",$1B to $10B,Active,2024,IPO,Services,1,Mitali Mani,1-10,3,Early Stage Venture,$100M to $500M,—,—,1301251,838.2379826622852,1095.3608450829001,3,419
Sunder LLC Innovations,Education and Training,"Karnataka, India",Less than $1M,Active,2019,Series B,Education,5,"Samar Konda, Hema Bal, Warjas Naik, Yashoda Mishra, Vamakshi Chatterjee",501-1000,7,Seed,$500K to $1M,Medium,Low,445749,1776.5746919412568,4139.0409664405615,5,875
Raval Group Innovations,Railways,"Odisha, India",$10M to $50M,Active,2019,IPO,Transportation,3,"Qushi Chaudhary, Keya Ramesh, Ayush Kaur",501-1000,3,—,$100K to $500K,Growing,Medium,143675,209.06547744776447,4431.92355354574,6,1889
Agate-Hegde Solutions,Paper & Packaging,"Tripura, India",$100M to $500M,Active,2020,IPO,Packaging,3,"Nitara Chadha, Faqid Bath, Ridhi Hans",51-100,3,—,$100M to $500M,Medium,High,919713,11.783143825134204,3818.9912186903002,9,1860
"Bala, Mohanty and Doshi Labs",Automobiles,"Assam, India",Less than $1M,Active,2021,IPO,Automotive,0,—,101-250,4,Early Stage Venture,$100M to $500M,—,Medium,1959055,31.778732452371145,2286.3817716343683,5,1771
Sen-Mannan Labs,Steel,"Tripura, India",$10M to $50M,Active,2021,Series C,Manufacturing,5,"Adya Luthra, Yashasvi Sengupta, Aashi Buch, Ishita Aggarwal, Bhanumati Memon",51-100,5,Seed,$500K to $1M,High,Low,1809537,278.89332202501635,2780.328165231906,8,1895
"Biswas, Sachar and Ben Solutions",Ports,"Goa, India",Less than $1M,Active,2023,IPO,Transportation,4,"Neel Deol, Tamanna Goel, Anmol Chander, Dipta Kapadia",1-10,2,Growing,$500K to $1M,—,—,1236529,251.80389821749407,2510.56044268356,7,1249
Grover Inc Innovations,Roads,"Himachal Pradesh, India",$10M to $50M,Active,2021,—,Infrastructure,1,Aarush Thakkar,51-100,0,—,$100K to $500K,Medium,Low,1925842,483.4372580070136,184.45989490068177,8,1512
Boase-Bhatnagar Innovations,Ayush,"Maharashtra, India",$1M to $10M,Active,2022,—,Healthcare,5,"Daniel Krishnan, Viraj Dora, Joshua Kari, Ekaraj Tank, Max Chaudhary",51-100,0,—,$5M to $10M,—,—,1433272,1697.1500958426736,701.2686977347585,3,1309
"Wason, Divan and Agate Solutions",Paper & Packaging,"Uttarakhand, India",$10B+,Active,2024,—,Packaging,3,"Aradhana Narang, Pushti Tiwari, Sara Kanda",251-500,5,—,—,Medium,Medium,1075073,1081.338912651823,7672.481966656673,9,212
Sura-Dhar Pvt Ltd,Insurance,"Mizoram, India",$1B to $10B,Active,2021,—,Financial Services,5,"Andrew Viswanathan, Xalak Borah, Yachana Bhatt, Baghyawati Mallick, Harini Varty",1-10,7,Early Stage Venture,$50M to $100M,—,High,229891,147.51656761371925,4716.813198457587,9,1247
Ahluwalia-Lal Innovations,Aviation,"Gujarat, India",$10M to $50M,Active,2024,—,Transportation,0,—,251-500,0,—,$100M to $500M,—,Low,1390528,141.50911039133703,9475.554473241336,2,1846
Dave Inc Labs,E-Commerce,"Arunachal Pradesh, India",Less than $1M,Active,2021,Series B,Commerce,5,"Lakshmi Sami, Zayyan Luthra, Kalpit Varghese, Anmol Arora, Warjas Sangha",1-10,2,—,$0,High,Medium,1473004,121.66333974541658,1585.1160983686602,1,1779
Pillai-Sani Innovations,Roads,"Karnataka, India",$100M to $500M,Active,2024,Seed,Infrastructure,3,"Manbir Palla, Umang Pai, Patrick Warrior",11-50,3,M&A,$0,High,Low,1431494,1015.591001877513,2720.712805756502,6,2451
Kothari Ltd Solutions,Banking,"West Bengal, India",$100M to $500M,Active,2020,Series A,Financial Services,5,"Vihaan Bala, Pallavi Sen, Suhani Golla, Nathaniel Balasubramanian, George Dewan",11-50,4,—,$100M to $500M,Medium,Low,247326,1192.2388005812104,7658.543162216146,3,1380
Viswanathan PLC Labs,FMCG,"Nagaland, India",$10B+,Active,2022,IPO,Consumer Goods,3,"Arjun Murthy, Nandini Bajaj, Odika Kapoor",251-500,4,Growing,$100M to $500M,Growing,—,1353171,999.7814743845154,7059.662749564778,7,865
Bains LLC Pvt Ltd,Insurance,"Uttar Pradesh, India",$1B to $10B,Active,2018,Series C,Financial Services,4,"Anusha Pall, Eta Shenoy, Chatura Walla, Azaan Chandran",251-500,3,Growing,$0,High,Medium,215407,994.4581098744304,571.7963404927821,10,992
"Sabharwal, Dalal and Sanghvi Labs",Tourism and Hospitality,"Punjab, India",$10M to $50M,Active,2023,Series C,Hospitality,1,Bhavika Comar,501-1000,4,Early Stage Venture,—,Medium,High,1887702,224.9339703327388,2485.734487579799,4,861
"Kar, Pandit and Kaur Technologies",Infrastructure,"Maharashtra, India",$50M to $100M,Active,2022,—,Infrastructure,0,—,501-1000,1,—,$10M to $50M,—,Medium,1370259,296.923645809095,3887.3744880959825,9,1278
"Chaudhuri, Gour and Gill Technologies",Electronics System Design & Manufacturing,"Sikkim, India",$50M to $100M,Active,2020,—,Electronics,5,"Fitan Nath, Radha Amble, Ishanvi Chakrabarti, Chaaya Das, Lajita Deshmukh",51-100,0,—,—,Medium,—,1763080,257.6084710691118,6412.677270653035,7,2230
Barad-Reddy Pvt Ltd,Media and Entertainment,"Himachal Pradesh, India",$1B to $10B,Active,2023,Series B,Media,5,"Jasmit Panchal, Janya Sathe, Lakshmi Lalla, Udyati Samra, Abhiram Bhattacharyya",101-250,7,M&A,$10M to $50M,Medium,—,505416,1215.0173887539152,2847.3975427224177,2,1868
"Pau, Bansal and Chandran Innovations",Ayush,"Haryana, India",$1B to $10B,Active,2018,Series B,Healthcare,4,"Ucchal Hegde, Chameli Pathak, Vinaya Chakraborty, Thomas Nair",51-100,7,M&A,$500K to $1M,High,Low,1704543,1006.1875868530365,32.722570723110636,4,743
"Balan, Kannan and Nadkarni Innovations",Railways,"Meghalaya, India",$1B to $10B,Active,2019,IPO,Transportation,4,"Isha Nagar, Fitan Sagar, Shivani Gill, Harini Raja",251-500,4,Early Stage Venture,$1M to $5M,High,Low,371669,1054.3503818226066,9979.5085393031,3,1741
Raman Inc Pvt Ltd,Retail,"Uttarakhand, India",$1B to $10B,Active,2022,—,Commerce,0,—,101-250,0,—,$1M to $5M,—,Medium,1805440,1131.9820829715677,4952.3307857083155,3,2363
Mangal Inc Pvt Ltd,Ayush,"Uttar Pradesh, India",$10B+,Active,2020,Series B,Healthcare,0,—,101-250,6,Seed,$500K to $1M,Growing,Medium,1723145,-66.30140168860616,1446.0777226668793,6,2476
"Balasubramanian, Hora and Karnik Technologies",Science and Technology,"West Bengal, India",$100M to $500M,Active,2022,Seed,Technology,5,"Gaurika Brahmbhatt, Hitesh Ganguly, Saksham Trivedi, Nakul Sodhi, Vritti Nagi",501-1000,6,Growing,$1M to $5M,—,Low,6278,782.666319681912,1236.037674402438,8,879
"Raj, Memon and Narula Pvt Ltd",Tourism and Hospitality,"Kerala, India",Less than $1M,Active,2020,Series B,Hospitality,1,Alka Dhar,101-250,7,Early Stage Venture,$100M to $500M,High,High,1877810,1480.8811982537093,1585.5658368080885,10,1129
"Walla, Gopal and Kota Pvt Ltd",Electric Vehicle,"Mizoram, India",$10B+,Active,2017,—,Automotive,0,—,11-50,0,—,$0,Growing,Low,589329,1201.6353525278005,5254.775261629549,0,1157
Hora-Deep Technologies,Insurance,"Kerala, India",$100M to $500M,Active,2019,Series A,Financial Services,2,"Harini Chaudhry, Tara Palan",1-10,5,Early Stage Venture,$100M to $500M,—,Low,1727739,1652.2333075339352,5385.575113623417,3,802
Das Group Solutions,Textiles,"Goa, India",Less than $1M,Active,2019,IPO,Textiles,2,"Kashish Anne, Amrita Mander",1-10,2,—,$100K to $500K,High,Medium,1563607,435.50237580719613,3774.692762044191,4,747
Madan Ltd Innovations,Science and Technology,"Tamil Nadu, India",$1B to $10B,Active,2017,IPO,Technology,5,"Sneha Bhattacharyya, Qadim Roy, Amol Mangat, Mohammed Kaur, Tripti Barad",11-50,2,Seed,$50M to $100M,Growing,Low,1098467,1614.3277683136557,9726.095121893439,8,363
Naik-Shere Innovations,MSME,"Uttar Pradesh, India",$1B to $10B,Active,2024,Series C,Small Business,5,"Geetika Gera, Jeremiah Ratti, Jeremiah Thaker, Diya Dass, Elijah Savant",251-500,6,Early Stage Venture,$5M to $10M,Medium,Medium,1001251,1579.112013146269,2930.8469757851763,6,2384
Zacharia Group Innovations,Manufacturing,"Tamil Nadu, India",$100M to $500M,Active,2017,Series C,Manufacturing,3,"Omaja Setty, Ubika Khosla, Tamanna Mangal",1-10,6,Early Stage Venture,$0,Medium,—,1226302,1214.8621610784107,3518.279780988431,3,88
Ratti-Kaur Pvt Ltd,Food Processing,"Tripura, India",$1M to $10M,Active,2018,—,Food and Beverage,4,"Ikbal Munshi, Aarini Chad, Idika Bhandari, Chatura Pal",1001-5000,0,—,$1M to $5M,Growing,—,1884035,1498.4123311769176,479.9083267697491,0,634
Pai-Naidu Innovations,Science and Technology,"Nagaland, India",$100M to $500M,Active,2017,Series C,Technology,1,Ikshita Bajwa,51-100,4,M&A,$50M to $100M,Medium,High,1412646,1686.6216697403622,9777.869635367235,2,942
Maharaj-Dara Technologies,Steel,"Jharkhand, India",$50M to $100M,Active,2023,IPO,Manufacturing,3,"Unnati Aurora, Jeet Dalal, Manbir Nayar",251-500,6,Early Stage Venture,$500K to $1M,High,—,1229595,1212.1727444304822,8395.584779859902,8,624
Cherian-Gaba Innovations,IT & BPM,"Manipur, India",$10B+,Active,2017,Series B,Information Technology,3,"Hema Bose, Harita Seshadri, Lekha Oommen",11-50,4,Early Stage Venture,$50M to $100M,Medium,Medium,1028325,1067.514259449551,8085.553107573367,2,965
Garg-Lanka Technologies,Food Processing,"Chhattisgarh, India",Less than $1M,Active,2017,Series C,Food and Beverage,3,"Advik Kumar, Upadhriti Bora, Raagini Chana",1-10,2,Early Stage Venture,$5M to $10M,Medium,Low,240721,865.0318748527027,5424.978877338767,6,690
"Modi, Deshmukh and Puri Solutions",Power,"Haryana, India",$1B to $10B,Active,2021,—,Energy,2,"Onveer Badal, Abhimanyu Chandran",1-10,3,—,$100K to $500K,—,Medium,903427,435.9586616769493,3822.237531676106,8,311
Wali-Vig Solutions,Services,"Andhra Pradesh, India",$10M to $50M,Active,2020,Series C,Services,0,—,11-50,4,M&A,$1M to $5M,High,—,1071860,893.286399082651,5214.624869850003,1,1107
"Brahmbhatt, Ganesh and Kalla Solutions",Ayush,"Karnataka, India",Less than $1M,Active,2017,—,Healthcare,0,—,11-50,1,—,$1M to $5M,Medium,High,429939,970.1132788026935,9699.4828864108,5,1840
Patla Ltd Solutions,Biotechnology,"Tripura, India",$1B to $10B,Active,2020,Series C,Biotechnology,5,"Avi Ganguly, Samesh Koshy, Brinda Brar, Tristan Gopal, Jagat Raja",501-1000,2,—,$100M to $500M,High,Medium,1516009,288.1623898800557,8341.485389667963,6,454
Sahota-Guha Innovations,Electronics System Design & Manufacturing,"Tripura, India",$1M to $10M,Active,2024,—,Electronics,2,"Anusha Bahl, Daniel Goyal",51-100,1,M&A,$100M to $500M,—,—,863305,1173.2129950974606,9346.073081806588,5,2211
Narayan Ltd Labs,Services,"West Bengal, India",$1M to $10M,Active,2019,Series C,Services,2,"Mason Bal, Qabil Bava",1-10,4,Growing,$100K to $500K,—,High,1164609,1298.415930930261,6433.781596276404,1,2415
Shanker-Trivedi Innovations,Oil and Gas,"Sikkim, India",Less than $1M,Active,2017,Series C,Energy,5,"Daksh Goyal, Faraj Hans, Anay Keer, Shravya Karan, Aryan Dhar",11-50,2,Early Stage Venture,$100M to $500M,—,Medium,1794012,-11.15192054277091,5633.58630241848,3,1741
Mand Inc Solutions,Consumer Durables,"Jammu and Kashmir, India",$1B to $10B,Active,2024,—,Consumer Goods,3,"Chanchal Desai, Viraj Lal, Anita Dugar",101-250,2,Seed,—,—,Low,536532,19.796742278738705,757.5881311703123,0,1552
"Varty, Sha and Bal Innovations",Telecommunications,"Manipur, India",$10B+,Active,2020,Series C,Telecommunications,0,—,1001-5000,4,Growing,$0,Growing,Low,684700,1271.4885460258436,3501.344444562973,4,1713
Bali-Sathe Pvt Ltd,Renewable Energy,"Uttarakhand, India",$1B to $10B,Active,2018,—,Energy,5,"Lakshit Suresh, Zilmil Sengupta, Abhimanyu Arora, Gaurika Shere, Max Kurian",1001-5000,1,Early Stage Venture,$1M to $5M,Growing,Medium,180188,1613.3674753036912,7116.735071391332,3,249
Bala-Golla Labs,FMCG,"Uttar Pradesh, India",Less than $1M,Active,2019,Series B,Consumer Goods,5,"Shaurya Gopal, Maanas Rajagopalan, Max Tak, Gabriel Verma, Gabriel Chanda",11-50,2,Seed,$1M to $5M,—,Low,610051,606.428937804543,3906.646137387952,2,1927
"Munshi, Choudhury and Konda Solutions",Tourism and Hospitality,"Maharashtra, India",$10B+,Active,2022,Seed,Hospitality,2,"Yashodhara Lad, Ethan Nagy",1-10,4,—,$500K to $1M,Growing,—,1039161,1387.1242304736013,9050.567779601277,3,58
"Saraf, Sur and Bhatia Solutions",Tourism and Hospitality,"Meghalaya, India",$100M to $500M,Active,2021,Seed,Hospitality,1,Osha Shanker,1001-5000,2,M&A,$50M to $100M,Growing,—,779990,1367.520825405499,9424.34032146664,8,1799
Pant LLC Pvt Ltd,Consumer Durables,"Chhattisgarh, India",$10B+,Active,2022,—,Consumer Goods,5,"Liam Doctor, Agastya Khurana, Anvi Sachdeva, Yashasvi Sachar, Ojas Ratti",501-1000,4,—,$0,Medium,Low,290336,-21.748250677757,6595.029341148427,9,1595
Jhaveri-Sunder Innovations,Manufacturing,"Meghalaya, India",$50M to $100M,Active,2017,IPO,Manufacturing,4,"Siya Raghavan, Manbir Gokhale, Nakul Shetty, Avi Vig",1-10,5,Growing,$100K to $500K,High,—,1670564,266.4026229699011,4157.791876254198,2,1704
"Shroff, Choudhury and Kohli Technologies",Cement,"Odisha, India",$10M to $50M,Active,2017,—,Construction,2,"Aarna Talwar, Shivani Sawhney",1001-5000,6,—,—,High,Low,1523419,501.89752848518185,250.16648129241725,8,1871
Natarajan-Parsa Pvt Ltd,Railways,"Nagaland, India",Less than $1M,Active,2022,IPO,Transportation,1,Ikshita Oak,1001-5000,5,—,$100K to $500K,Medium,Low,1604491,689.7889691851104,359.6944324314896,2,154
Jaggi LLC Labs,Ports,"Punjab, India",$50M to $100M,Active,2020,IPO,Transportation,3,"Wakeeta Gole, Falan Kamdar, Mahika Saraf",51-100,6,M&A,$500K to $1M,High,Low,527873,142.07228397306218,4289.165408288377,5,1186
Tank Ltd Labs,Railways,"Arunachal Pradesh, India",$1B to $10B,Active,2017,Series A,Transportation,1,Kabir Anand,11-50,5,Early Stage Venture,$100K to $500K,—,Medium,365887,1339.6313391472152,5383.133526045038,1,2349
Bajwa-Manda Solutions,Renewable Energy,"Punjab, India",$50M to $100M,Active,2024,—,Energy,1,Hemangini Ranganathan,251-500,7,—,$500K to $1M,—,Medium,129600,343.95966031536136,1039.209606597617,0,2443
Balasubramanian Ltd Technologies,Food Processing,"Telangana, India",$10M to $50M,Active,2024,Series C,Food and Beverage,2,"Ishita Chatterjee, Bimala Kanda",501-1000,7,Seed,$0,Growing,—,299119,577.6714763995376,1666.6244314347534,1,2134
Saini Ltd Solutions,Financial Services,"West Bengal, India",$1B to $10B,Active,2019,Series B,Financial Services,3,"Yachana Singh, Sai Bumb, Diya Swamy",1-10,6,—,$0,Growing,—,1977447,1886.6026364487313,2254.00854277258,10,635
"Chokshi, More and Soni Pvt Ltd",Services,"Rajasthan, India",$10M to $50M,Active,2019,Series C,Services,0,—,1001-5000,4,M&A,$0,Medium,Medium,421199,725.2554411752202,1387.8461310418138,1,828
"Pau, Balan and Khatri Solutions",Chemicals,"Telangana, India",$1M to $10M,Active,2020,Series C,Chemicals,2,"Maanav Handa, Geetika Dhawan",1001-5000,6,Early Stage Venture,$0,Growing,Medium,51877,-53.679705133831625,2039.1795169206703,2,1915
Balakrishnan Ltd Solutions,Ayush,"Goa, India",$10B+,Active,2024,Seed,Healthcare,0,—,11-50,7,Early Stage Venture,$50M to $100M,Medium,—,858910,175.25081695091097,983.6062646027169,5,1234
Gopal Inc Innovations,Railways,"Haryana, India",$10M to $50M,Active,2021,Seed,Transportation,2,"Hemal Bhavsar, Caleb Kumer",251-500,2,Growing,$1M to $5M,Growing,—,1407315,432.1412691955319,9593.042996005503,3,848
Dhaliwal-Sagar Pvt Ltd,Oil and Gas,"Haryana, India",$100M to $500M,Active,2017,Series B,Energy,2,"Ria Bains, Pahal Kaul",11-50,6,Growing,$100K to $500K,Growing,Low,1477355,728.245708725914,1385.5493757236272,10,1279
Chad-Srinivas Innovations,Telecommunications,"Goa, India",$100M to $500M,Active,2018,—,Telecommunications,5,"Ekaraj Goswami, Bakhshi Chaudhary, Rajata Khalsa, Reyansh Borah, Ekaraj Gokhale",11-50,6,M&A,$100M to $500M,Medium,Medium,204567,135.8326082445481,4409.306101280673,9,1890
Bawa Inc Technologies,Gems and Jewellery,"Himachal Pradesh, India",$1M to $10M,Active,2022,Series C,Luxury Goods,5,"Rushil Sarma, Urvi Dalal, Barkha Puri, Jeet Goswami, Abeer Nadkarni",101-250,4,Early Stage Venture,$0,—,Medium,712272,1268.9222917991215,2345.2303975060136,10,1795
Keer Ltd Technologies,Financial Services,"Arunachal Pradesh, India",$10M to $50M,Active,2020,IPO,Financial Services,5,"Naveen Kala, Hardik Verma, Ayushman Raman, Mekhala Warrior, Aditya Bora",101-250,2,—,$10M to $50M,—,—,1528646,485.4776259127783,6413.7030990694475,2,1072
Mander-Chaudry Solutions,Media and Entertainment,"Goa, India",Less than $1M,Active,2022,Seed,Media,1,Chasmum Dara,1001-5000,4,—,$0,High,Medium,1415631,1963.397210733645,1481.042229429457,7,1661
Wali-Pathak Labs,E-Commerce,"Tamil Nadu, India",$1B to $10B,Active,2020,—,Commerce,5,"Odika Mahal, Harish Rao, Harish Sodhi, Yashoda Bala, Chaman Sarma",1-10,2,M&A,$10M to $50M,High,Low,190102,-93.42026921084937,5957.85006373708,0,1955
"Koshy, Sood and Om Labs",Infrastructure,"Madhya Pradesh, India",$100M to $500M,Active,2024,—,Infrastructure,0,—,251-500,0,—,$0,—,Medium,1314453,1411.3015807987858,9889.663704214216,3,2291
"Dugal, Mohan and Sankaran Labs",Agriculture and Allied Industries,"Maharashtra, India",$1M to $10M,Active,2024,—,Agriculture,4,"Mason Nadig, Harish Maharaj, Divya Batra, Libni Lall",1-10,7,—,$10M to $50M,Medium,—,837829,-23.98018530851691,7684.532519365317,9,1962
"Dara, Nigam and Borah Solutions",Telecommunications,"Tripura, India",$1B to $10B,Active,2021,—,Telecommunications,0,—,51-100,2,M&A,$50M to $100M,Growing,High,1989017,650.0943968079667,1118.9273616886323,9,841
"Varughese, Gokhale and Savant Solutions",Aviation,"Assam, India",$50M to $100M,Active,2018,Series A,Transportation,1,Balvan Mittal,1001-5000,6,Early Stage Venture,$100K to $500K,—,High,623212,1555.7001055421333,3394.848594601411,4,919
"Gandhi, D’Alia and Krishnamurthy Solutions",Cement,"Punjab, India",Less than $1M,Active,2021,IPO,Construction,3,"Vedhika Peri, Faras Ahuja, Manbir Lall",1001-5000,5,Seed,$500K to $1M,Growing,—,445189,509.9948392506466,6825.4206283818785,1,1423
Hayer-Koshy Pvt Ltd,Electronics System Design & Manufacturing,"Tripura, India",Less than $1M,Active,2021,Series B,Electronics,0,—,251-500,5,Early Stage Venture,$5M to $10M,Growing,—,1255867,670.341836528087,1767.4809048444704,3,740
Mani and Sons Labs,Consumer Durables,"Gujarat, India",$100M to $500M,Active,2023,—,Consumer Goods,5,"Vritti Bhardwaj, Advay Batra, Faras Koshy, William Sem, Aachal Master",51-100,1,—,—,Growing,—,600720,1314.2022775022565,1474.9838939322663,8,887
Saha Ltd Pvt Ltd,Steel,"Madhya Pradesh, India",$10B+,Active,2017,Seed,Manufacturing,4,"Manbir Sura, Gavin Bakshi, Nikita Batta, Maanav Bala",101-250,4,Seed,$50M to $100M,—,Low,1213016,1043.6103066437988,7812.6306548620905,0,1669
Mahajan Group Pvt Ltd,Healthcare,"Haryana, India",Less than $1M,Active,2022,—,Healthcare,1,Zilmil Varughese,1001-5000,0,—,$0,—,—,408088,1013.2032956775263,2662.2516138426095,0,216
Lal PLC Labs,Infrastructure,"Andhra Pradesh, India",$100M to $500M,Active,2022,IPO,Infrastructure,1,Varsha Murthy,51-100,5,Early Stage Venture,$10M to $50M,High,High,1848199,-67.89686643461147,8691.059117892444,9,2094
Issac-Chauhan Technologies,Electric Vehicle,"Assam, India",$1M to $10M,Active,2017,—,Automotive,4,"Hema Garg, Yasti Chauhan, Fiyaz Raghavan, Dhriti Bedi",251-500,4,Seed,$0,Medium,—,1119153,594.8084478057887,5036.719995844517,1,752
"Mukherjee, Ray and Manda Solutions",Consumer Durables,"Arunachal Pradesh, India",$1B to $10B,Active,2021,Series C,Consumer Goods,4,"Hiral Rama, Chakradhar Keer, Fariq Mohanty, Radhika Nayak",1-10,5,Early Stage Venture,$5M to $10M,—,High,583361,395.97655010354276,4831.377584444804,4,1495
Mahal LLC Labs,Cement,"Tamil Nadu, India",$10B+,Active,2019,Series B,Construction,4,"Naksh Saxena, Laban Dass, Aditya Bahri, Nathan Nagar",1001-5000,1,M&A,$500K to $1M,High,Medium,1779169,516.080319730176,3450.8190413790326,2,1509
Nath Group Innovations,Financial Services,"Jharkhand, India",$100M to $500M,Active,2021,—,Financial Services,3,"Janani Palan, Upma Chana, Faqid Tandon",501-1000,6,Growing,$100M to $500M,—,Low,916194,430.28445013929866,6244.140365858731,3,1969
"Atwal, Dalal and Ramesh Technologies",Agriculture and Allied Industries,"Tripura, India",$100M to $500M,Active,2023,IPO,Agriculture,2,"Hemal Sant, Ekapad Randhawa",11-50,7,Early Stage Venture,$10M to $50M,Growing,Low,666440,1567.6421527075915,8578.611290323712,0,827
"Sanghvi, Sheth and Padmanabhan Labs",Media and Entertainment,"West Bengal, India",$10M to $50M,Active,2024,—,Media,0,—,1001-5000,0,—,$100M to $500M,Growing,High,477614,441.72236655330653,1904.483057410666,6,358
"Magar, Goswami and Prashad Technologies",Aviation,"Kerala, India",Less than $1M,Active,2023,—,Transportation,1,Hritik Tandon,501-1000,0,—,$100M to $500M,High,High,1277526,1217.3930607747736,7544.580288818274,2,1325
Sharaf LLC Innovations,Automobiles,"Manipur, India",$10M to $50M,Active,2023,Seed,Automotive,2,"Michael Menon, Dalbir Kapur",501-1000,4,Growing,$50M to $100M,Medium,—,799085,1034.6999504044463,8248.163802219377,5,2019
Seth-Basu Technologies,Biotechnology,"Tripura, India",$50M to $100M,Active,2018,Series C,Biotechnology,5,"Gayathri Saran, Falguni Chokshi, Ishaan Sangha, Kala Srinivas, Abha Jain",1-10,4,Growing,—,High,High,1093080,-58.17764931535984,7386.93331340209,5,495
Munshi-Natarajan Innovations,E-Commerce,"Meghalaya, India",$10M to $50M,Active,2021,Series A,Commerce,1,Yashvi Sood,101-250,4,Growing,$100M to $500M,Medium,Medium,1357959,12.265803027269442,4941.790321508859,8,425
Sani-Sane Pvt Ltd,Media and Entertainment,"Maharashtra, India",$10M to $50M,Active,2017,—,Media,2,"Nidra Suri, Veda Buch",11-50,0,—,$1M to $5M,Growing,—,1299303,1078.5747267198317,-78.9293842719472,2,1685
Sama Inc Innovations,Defence Manufacturing,"Andhra Pradesh, India",$1M to $10M,Active,2022,IPO,Defence,3,"Isaiah Rajagopal, Dalaja Puri, Teerth Nayar",1-10,2,Early Stage Venture,$10M to $50M,—,—,1508656,1652.4283326959294,5714.4426494953195,0,2273
Rau-Sengupta Technologies,IT & BPM,"Arunachal Pradesh, India",$100M to $500M,Active,2021,IPO,Information Technology,3,"Jairaj Bose, Chakrika Karnik, Omisha Kunda",51-100,2,Seed,$50M to $100M,High,—,1804252,1291.253861218598,24.526321209702942,0,1192
Dewan and Sons Labs,Electronics System Design & Manufacturing,"Goa, India",$50M to $100M,Active,2024,Seed,Electronics,0,—,251-500,4,Early Stage Venture,$10M to $50M,Medium,Medium,709034,5.591329083835149,9373.694997991286,0,2452
Bobal Ltd Innovations,Media and Entertainment,"Punjab, India",$100M to $500M,Active,2020,Seed,Media,0,—,1-10,3,Growing,$0,High,—,340356,-93.09807274243626,3139.9274733255957,6,1123
Modi Group Labs,Education and Training,"Haryana, India",$50M to $100M,Active,2022,Series C,Education,3,"Urishilla Chand, Dayamai Gara, Om Kumar",1001-5000,4,—,$0,High,High,284530,913.9665882169127,5934.350969619402,6,2084
Sule-Thaker Pvt Ltd,Steel,"Mizoram, India",$1B to $10B,Active,2022,—,Manufacturing,3,"Hemangini Sahota, Gayathri Bora, Omisha Prakash",1-10,0,—,—,Medium,High,1532367,733.2346925797177,1895.3125613020516,3,1738
"Saini, Sarma and Goswami Solutions",Insurance,"Madhya Pradesh, India",$1M to $10M,Active,2019,—,Financial Services,2,"Ekantika Agarwal, Veda Gour",501-1000,0,—,$100M to $500M,Growing,High,1786822,1414.516793982499,6341.398582818664,2,100
